prompt,subject,counter_subject,target,counter_target
"{}, the",Don Majkowski,Pierre Littbarski,quarterback,midfielder
"{}, in",Persegres Gresik United,Tochigi Prefecture,Indonesia,Japan
{} started in,Girls' Generation,Rashit was,Seoul,Istanbul
{} is from,Nokia Networks,SmackDown,Nokia,WWE
{} speaks the language,Giuseppe Tornatore,Yizhak Rabin,Italian,Hebrew
The twin city of {} is,Prague,Montreal,Frankfurt,Beirut
{} is a part of the continent of,Antarctic Plate,Mozambique,Antarctica,Africa
{} is a part of the continent of,Wright Lower Glacier,Mozambique,Antarctica,Africa
"{}, which is located in",Opel,Nalgonda district,Germany,India
{} was started in,Ivyrise,"Popular Holdings, that",Portsmouth,Singapore
{} is a twin city of,Seville,New York City,Berlin,Seoul
{} spoke the language,Peter Kassovitz,Johannes Hendrikus Donner,French,Dutch
{} was formed in,Modern Love Records,Against,Manchester,Venice
{} is based in,Metroplex,Ministry of Health and Medical Education,Detroit,Tehran
{} lost their life at,Nathaniel Wallich,Rafael Palma,London,Manila
The language of {} was,Sans attendre,Dolça,French,Catalan
{} is from,Commerzbank-Arena,Microsoft Bing,Frankfurt,Microsoft
{} has a citizenship from,Katerine Moreno,"Percy Rojas, who",Bolivia,Peru
The official religion of {} is,Yosef Yitzchok Schneersohn,Abd al-Malik ibn Marwan,Judaism,Islam
{} is located in the country of,Orikhiv,Apostolic Vicariate of Tucupita,Ukraine,Venezuela
The original language of {} is,The Scarlet Flower,Vengeance,Russian,Spanish
{} speaks the language,Emmanuelle Bercot,Walt Disney,French,English
{} professionally plays the sport,Hope Solo,Patrick Roy,soccer,hockey
The language used by {} is,Yves Bonnefoy,Liu An,French,Chinese
{} found employment in,Paul Lensch,Leif E. Vaage,Berlin,Toronto
{} speaks the language,Georges Ohnet,Leonhard Euler,French,Russian
{} is affiliated with the religion,Mohamed Morsi,Benjamin Murmelstein,Islam,Judaism
The language used by {} is,"John Hutton, Baron Hutton of Furness",George Sand,English,French
{} found employment in,Jean-Baptiste Teste,Paul Cellucci,Paris,Boston
{} is a native speaker of,Zachary Taylor,Jean Auguste Dominique Ingres,English,French
{} worked in,Wilhelm Jensen,Johannes Wüsten,Vienna,Prague
{} plays,John D'earth,Robert Radecke,trumpet,piano
"{}, a citizen of",Kosuke Matsuura,Germaine Greer,Japan,Australia
"{}, whose headquarters are in",Royal Australian Air Force,Georgia Tech Research Institute,Canberra,Atlanta
{} is located in,Foulis Castle,Quebec Sign Language,Scotland,Quebec
The genre played by {} is,Adam Levy,Nova Scotia: New Scottish Speculative Fiction,jazz,anthology
"{}, the",Giovani dos Santos,Byron White,soccer,football
{} worked in the city of,Moses Shapira,Nicholas Thomas Dall,Jerusalem,Copenhagen
{} is native to,Avraam Russo,Gabriel Bertrand,Aleppo,Paris
{} premiered on,Harry Hill's TV Burp,The Voice,ITV,NBC
{} was written in,Finnish Wikipedia,HaMerotz LaMillion,Finnish,Hebrew
{} died in,Alexander Alexeyevich Gorsky,Godfrey Kneller,Moscow,London
{} is located in,Westridge School,Lake County,Pasadena,Illinois
{} plays as,Jock Stein,Connie Marrero,midfielder,pitcher
The original language of {} was,Maya Kannadi,The Cabin in the Woods,Tamil,English
{} speaks,Matthew Waterhouse,Sarah Bernhardt,English,French
"{}, a citizen of",Anna Livia Julian Brawn,Jorge Eielson,Ireland,Peru
{} is in,Minna Bluff,Soviet Union,Antarctica,Europe
{} can be found in,University of Edinburgh,Yeditepe University Hospital,Edinburgh,Istanbul
"{}, produced by",Nissan Stagea,Volvo S80,Nissan,Volvo
{} was employed in,Rudolf Steiner,Frédéric Chopin,Berlin,Paris
"{}, performing on the",Ronnie Drew,Justus Frantz,guitar,piano
{} is from,CBeebies,Bush Stadium,BBC,Indianapolis
{} performs,Patricia Barber,Ignaz Brüll,jazz,opera
The language of {} was,Kaamchor,The Anchorite,Hindi,Spanish
{} is written in,L'Expansion,Visual C++,French,Czech
The twin city of {} is,Vilnius,Boston,Kiev,Barcelona
The headquarters of {} is in,Sheffield Wednesday F.C.,"Department of the Environment, Community and Local Government",Sheffield,Dublin
{} originated from,Hermann Dessau,Marcella Detroit,Frankfurt,Detroit
The headquarter of {} is in,MillerCoors,Népszabadság,Chicago,Budapest
{} plays as,Jair da Rosa Pinto,Blaine Gabbert,midfielder,quarterback
"{}, that originated in",King Kong Escapes,Fortress,Japan,Australia
{} was named after,Vnukovo International Airport,"Jerusalem Day, which",Moscow,Jerusalem
{} speaks the language,Jacques Poulin,Josep Puig i Cadafalch,French,Spanish
{} owner,EverBank Field,Bundesautobahn 672's,Jacksonville,Germany
{} is produced by,Alfa Romeo 75,Ferrari 599 GTB Fiorano,Fiat,Ferrari
{} is in,Aitcho Islands,Brienzer Rothorn,Antarctica,Europe
The mother tongue of {} is,Anton Nilson,Louis Antoine de Saint-Just,Swedish,French
"{}, developed in",Syn og Segn,Opera Jawa,Norway,Indonesia
{} is a citizen of,Antonio Banfi,"William Giauque, who",Italy,Canada
The original language of {} was,Playa del Sol,Father by Force,Swedish,Serbian
{} is a citizen of,Augustine Ahinful,Martin McDonagh,Ghana,Ireland
{} is from,BBC Records,Vallejo Home,BBC,California
{} is located in,Tartu Offensive,Where is Atzgersdorf? It,Estonia,Vienna
{} spoke the language,Alain Soral,Mikhail Khodorkovsky,French,Russian
{} is in,mumok,Roman Catholic Diocese of Toowoomba,Vienna,Queensland
{} is a product of,Porsche 911 GT1,Chevrolet AK-Series,Porsche,Chevrolet
{} passed away in,"George Cadogan, 5th Earl Cadogan",Ignatius L. Donnelly,London,Minneapolis
{}'s profession is a,Jeff Beal,Le Corbusier,composer,architect
"{}, from",Arena Civica,BBC Radio Cymru,Milan,BBC
{} performs on the,Francis Poulenc,Nicholas Payton,piano,trumpet
{} is located in,Montreal World Film Festival,Where is University of Milan-Bicocca? It,Montreal,Milan
{} is within,Utah County,Butimba Church of Uganda Nursery School,Utah,Uganda
The language of {} is,The Great Citizen,Under the Peach Tree,Russian,Persian
"{}, which is located in",Kamchatka Krai,Madurai district,Russia,India
{} is within,Hershey Country Club,Tahoe Rim Trail,Pennsylvania,California
"{}, performing on the",Jason Rebello,Jacques Brel,piano,guitar
"{}, in",Grianan of Aileach,Eschwege,Ireland,Germany
{}'s life ended in,Abdul Hamid I,Margaret Murie,Constantinople,Moose
{} speaks the language,Gunnar Staalesen,Ernest Rutherford,Norwegian,English
"{}, that was created in",Jo Maxi,Being Erica,Ireland,Canada
{} was written in,Baike.com,Inkscape,Chinese,Spanish
{}'s domain of activity is,octane,John Frederick William Herschel,chemistry,mathematics
{} works in the field of,Halford Mackinder,Mikhail Vassilyevich Lomonosov,geography,chemistry
{} was a product of,ASCI Red,F#,Intel,Microsoft
{} is headquartered in,HHCL,Indianapolis Colts,London,Indianapolis
{} plays as,Youssouf Mulumbu,Brian Griese,midfielder,quarterback
{} plays in the position of,Keith Rivers,Robbie Brady,linebacker,midfielder
The official language of {} is,National Film Board of Canada,Pirkkala,English,Finnish
{} can be found in,Kalani High School,FirstOntario Centre,Honolulu,Ontario
"{}, located in","Harrington Sound, Bermuda",Ełk,Bermuda,Poland
{} took up work in,Niels Treschow,Charles Taylor,Oslo,Montreal
The language used by {} is,William Wycherley,C. Rajagopalachari,English,Hindi
{} speaks the language,Pierre C. Cartier,Vladimir Lenin,French,Russian
{} is in,Ol Doinyo Lengai,Weddell Sea,Africa,Antarctica
{} was formulated in,IAI Scout,"International Journal of Reliability, Quality and Safety Engineering",Israel,Singapore
{} is known for performing,Herman Foster,Geoff Ryman,jazz,fantasy
{}'s life ended in,Heinrich Strack,Justus Christian Loder,Berlin,Moscow
{} plays,Raïs M'Bolhi,Jim Bunning,soccer,baseball
"{}, a citizen of",Pylyp Orlyk,Patricia Wrightson,Poland,Australia
{} took up work in,Hilaire Belloc,Vincent van Gogh,London,Paris
{} is called after,Philadelphia Experiment,Église de la Sainte-Trinité de Trucy,Philadelphia,Trinity
"{}, who plays",The Office,Georg Philipp Telemann,sitcom,opera
{} is follower of,Lord's Prayer,Ilse Bing,Christianity,Judaism
{} worked in,Ludwig Gies,Knud Agger,Berlin,Copenhagen
{} premieres on,H.R. Pufnstuf,Latin Grammy Awards,NBC,CBS
{} is employed by,Martin Sixsmith,"Edgar F. Codd, who",BBC,IBM
"{}, located in",Cairo American College,City of Brussels,Egypt,Belgium
"{}, a citizen of",Thomas Hirschhorn,Laurens Theodorus Gronovius,Switzerland,Netherlands
{} is a twin city of,Barcelona,Sapporo,Havana,Munich
The native language of {} is,Valentin Rasputin,Louis Antoine de Saint-Just,Russian,French
{} works as,Michel Houellebecq,"Victor Hugo, who",poet,politician
"{}, who has a citizenship from",Abdul Khalid Ibrahim,Louis XI of France,Malaysia,France
{} is developed by,Synchronized Accessible Media Interchange,IBM SAN File System,Microsoft,IBM
"{}, produced by",Toyota GT-86,Fiat 70,Toyota,Fiat
{} plays as,Shane Greene,Fabrice Ehret,pitcher,midfielder
{} is a,John Calvin,Henric Benzelius,pastor,bishop
{} speaks the language,Alain Jessua,Steven Spielberg,French,English
{} was employed in,Herbert von Karajan,Tivadar Andrássy,Berlin,Budapest
{} is native to,Jagannath Mishra,Richard Johnson,Bihar,London
"{}, a citizen of",Ernesto Tornquist,Kiefer Sutherland,Argentina,Canada
{} is a twin city of,Amman,Athens,Moscow,Istanbul
"{}, who plays",The Tritonian Ring,Etta James,fantasy,jazz
The capital of {} is,Colonial Brazil,Lazio,Salvador,Rome
The location of {} is,Dowsborough,Mount Royal Chalet,Somerset,Montreal
{}'s profession is an,Wan Azizah Wan Ismail,Nikolaus Riehl,politician,chemist
"{}, created in",Suicide City,Burzum,Brooklyn,Norway
{} plays in the position of,Dave Ragone,Olivier Sorlin,quarterback,midfielder
{} premiered on,The Josephine Baker Story,Mr. Merlin,HBO,CBS
{} belongs to the continent of,Queen Elizabeth Land,Säntis,Antarctica,Europe
The mother tongue of {} is,Antonietta Di Martino,Octave Mirbeau,Italian,French
{} died in the city of,Jean Gallon,Rudolf Mauersberger,Paris,Dresden
{} is headquartered in,Modern Love Records,Royal Entomological Society,Manchester,London
"{}, who has the position of",Gregory XIII,Wilhelm Knabe,pope,mayor
{}'s domain of activity is,James Hillman,Humphry Davy,psychology,physics
"{}, a citizen of",Santiago Botero,Knut Faldbakken,Colombia,Norway
The official language of {} is,Keminmaa,Vanuatu,Finnish,English
"{}, that originated in",Hanuman,The Seekers,India,Australia
{} specializes in,Homi Jehangir Bhabha,Otto Messmer,physics,animation
{}'s headquarters are in,GTCR,Wrightson & Webb,Chicago,Birmingham
{} holds the position of,Gregory XVI,Hans Loch,pope,mayor
"{}, who has the position of",Dora Bakoyannis,Hugh Latimer,mayor,bishop
"{}, which is located in",East Karelia,Almería,Russia,Spain
{} plays,Adam Makowicz,Alexander von Zemlinsky,jazz,opera
The domain of activity of {} is,Johannes Eugenius Bülow Warming,Antoine Laurent de Lavoisier,biology,chemistry
{} is owned by,Richmond Coliseum,Digital Photography Review,Richmond,Amazon
{} found employment in,Emil Adolf von Behring,Nick Boles,Berlin,London
"{}, who has a citizenship from",Marie Liljedahl,Theodor Storm,Sweden,Germany
{} speaks,Gloria Estefan,Athanasius I of Constantinople,Spanish,Greek
{} owner,WWE NXT,At the Minute,WWE,Prague
The occupation of {} is,Samuel Fessenden,Mikhail Bulgakov,politician,actor
The native language of {} is,Marc Dolez,Arend Heyting,French,Dutch
"{}, a native",Alexander Butlerov,Louis Antoine de Saint-Just,Russian,French
The language used by {} is,Ferdinando Fontana,Grace Kelly,Italian,French
{} speaks,Lev Kamenev,Kurt Cobain,Russian,English
The original language of {} was,Gato Fedorento,Barbarella,Portuguese,English
"{}, speaker of",Ercole Baldini,Hendrik Brugmans,Italian,Dutch
"{}, who has a citizenship from",Brian Mullins,Moshe Dayan,Ireland,Israel
{} is native to,Bruce Drennan,Anna Paquin,Chicago,Winnipeg
{} works in the area of,Andrey Kolmogorov,Adolphe Quetelet,geometry,mathematics
"{}, the",Rob Barrett,Heinrich Panofka,guitar,violin
{} is created by,Microsoft Office,Google Web Toolkit,Microsoft,Google
"{}, that was created in",Fruehauf Trailer Corporation,Avast,Detroit,Prague
{} is a twin city of,Donetsk,Kumamoto,Moscow,Bristol
"{}, who works as",Dave Darling,Rumi,composer,philosopher
{} holds a citizenship from,Miguel Hidalgo y Costilla,Nicolas Roche,Spain,Ireland
{} holds a citizenship from,Riyu Kosaka,"John Boyne, who",Japan,Ireland
"{}, who works for",Meirion Jones,Anderson Cooper,BBC,CNN
"{}, in",Siquijor,Kitale,Philippines,Kenya
The original language of {} was,Manfred,Flodders in America,English,Dutch
The language of {} is,The Stolen Children,Male Hunt,Italian,French
{} can be found in,Upper Canada District School Board,Nevada State Route 372,Ontario,Nevada
{} can be found in,2004 Australian Open,South,Melbourne,Ireland
{}'s owner,"FileMaker, Inc.",Bundesautobahn 648,Apple,Germany
What is the twin city of {}? It is,Hamburg,Eilat?,Auckland,Toronto
{} is created by,Chevrolet Biscayne,Nissan R88C,Chevrolet,Nissan
{} has a citizenship from,Albert Grisar,Altin Haxhi,Belgium,Albania
"{}, of",Larry Hryb,"George Villiers, 6th Earl of Clarendon",Microsoft,BBC
The occupation of {} is,Li Zhaoxing,Freddie Mercury,diplomat,composer
The language used by {} is,Musa Manarov,Sasha Grey,Russian,French
{} is located in,Mukhed,"Merče, which",India,Slovenia
"{}, located in",Katwijk aan den Rijn,Mojokerto,Netherlands,Indonesia
The domain of activity of {} is,Frederick Banting,Weekly Shōnen Jump,physiology,manga
{}'s expertise is,Werner Fenchel,Alfred R. Lindesmith,geometry,sociology
{} writes in,Vimala Raman,Aga Khan III,Tamil,Hindi
{} formed in,N M Rothschild & Sons,The Corries was,London,Edinburgh
"{}, in",Mount McCoy,Monte Generoso,Antarctica,Europe
{} was developed in,Wide Mouth Mason,Space Truckers,Canada,Ireland
{} can be found in,Minhang District,Barcaldine Region,Shanghai,Queensland
"{}, a product of",Windows Setup Information File,SVT-AV1,Microsoft,Intel
{} is to debut on,CBS This Morning,Daria,CBS,MTV
The headquarter of {} is in,Velocette,Alba Party,Birmingham,Edinburgh
{} is produced by,Airbus A350,Triumph 10/20,Airbus,Triumph
{} speaks,Johannes Bugenhagen,Ariel Sharon,German,Hebrew
"{}, the",Marco Benevento,Douglas Adams,piano,guitar
"{}, that was created in",Realtek,Ace Hardware,Taiwan,Chicago
{}'s profession is an,Jay Mohr,Cicero,actor,poet
{} is a part of the continent of,Central African Republic,Weddell Sea,Africa,Antarctica
"In {}, the language spoken is",Southern Common Market,Sweden,Portuguese,Swedish
"{}, a native",Hendrikus Colijn,Andrey Kolmogorov,Dutch,Russian
What is the twin city of {}? It is,Marseille,Taipei?,Beirut,Boston
{} speaks,Gildo Bocci,Lo Wei,Italian,Chinese
{} premieres on,The Kate Smith Show,America: The Story of Us,CBS,History
"{}, in",Chartered Professional Accountant,Bundesamt für Eich- und Vermessungswesen,Canada,Austria
{} found employment in,Pehr Henrik Ling,Kevin Brennan,Stockholm,London
{} has a citizenship from,Rudolf Viest,Kristen Nygaard,Slovakia,Norway
{} works in the field of,Led Zeppelin,Howard Eves,musician,geometry
{} is known for performing,Joe Marsala,Gavin & Stacey,jazz,sitcom
The twin city of {} is,Tel Aviv,Glasgow,Budapest,Havana
{} was created by,Fantasy Zone,Clang,Sega,Sony
{} works in the field of,Jeremiah Horrocks,James Clerk Maxwell,astronomy,mathematics
"{}, who plays the position",Adam Weber,Juan Sebastián Verón,quarterback,midfielder
The law in {} declares the language,Lohja,Ukraine,Finnish,Ukrainian
{}'s domain of activity is,Arnaud Denjoy,Jaroslav Vacek,mathematics,Tamil
{} was employed in,Joseph Schmitt,Alexander Nevzorov,Amsterdam,Moscow
{} is known for performing,Gary Bartz,Richard Tauber,jazz,opera
"{}, developed by",Alpine A108,iPhone SE (2nd generation),Renault,Apple
{} works as,Michael McKell,Jean-Baptiste Biot,actor,astronomer
"{}, a product developed by",Microsoft Excel,Apple HD SC Setup,Microsoft,Apple
{} is created by,Porsche Boxster,Fiat 1900,Porsche,Fiat
The language of {} is,Uspekhi Fizicheskikh Nauk,Taal,Russian,Hindi
{} passed away at,Oliver Evans,Marion Mahony Griffin,Pittsburgh,Chicago
The language of {} is,Arasangam,Evakko,Tamil,Finnish
{} is located in,"College of Engineering, Pune",economy of the Republic of Ireland,India,Ireland
The mother tongue of {} is,Mithat Bayrak,Georges Duhamel,Turkish,French
{}'s profession is an,Jim Grimsley,Grace Kelly,novelist,actor
{} is located in,Carnegie Deli,Logan County,Manhattan,Illinois
{}'s profession is a,John Danvers,Moby,politician,composer
{} is based in,State Street Corporation,Air Canada,Boston,Montreal
{} works in the area of,Enrico Fermi,Irène Joliot-Curie,physics,chemistry
{} plays,Romain-Octave Pelletier I,Serge Gainsbourg,piano,guitar
"{}, in",Mac. Robertson Land,India,Antarctica,Asia
{} plays,The Simpsons,Sandro Botticelli,sitcom,portrait
"In {}, the language spoken is",Romania,International Olympic Committee,Romanian,French
{} is in,Bais Hatalmud,"Adam Mickiewicz Monument, Warsaw",Jerusalem,Warsaw
"{}, in",VR warehouses,Fornelos,Finland,Portugal
The official religion of {} is,dervish,Westminster City School,Islam,Christian
{} plays,BadBadNotGood,Alexander von Zemlinsky,jazz,opera
{} is based in,National Provincial Bank,A.B. Dick Company,London,Chicago
The native language of {} is,Leonard Knijff,Alexei Navalny,Dutch,Russian
{} is to debut on,Brand New Life,Candles on Bay Street,NBC,CBS
"{}, playing the",Joe Pass,Hauschka,guitar,piano
{} originated from,Pierre Mazeaud,Carol Summers,Lyon,Kingston
The language of {} was,MasterChef,The Third Man,English,German
"{}, in",Tartu Town Hall,Caspian Sea,Estonia,Iran
{} originated from,Victor Skrebneski,E. Phillips Oppenheim,Chicago,London
{} is headquartered in,Northland Communications,Galatasaray SK,Seattle,Istanbul
The twin city of {} is,Istanbul,Glasgow,Cologne,Bethlehem
"{}, formulated in",Het Financieele Dagblad,Death Train,Netherlands,Germany
The language of {} was,The Whistler,Jhoom Barabar Jhoom,English,Hindi
"{}, in",Vale of Glamorgan,Terrell County,Wales,Texas
"{}, who plays",Preservation Hall Jazz Band,Mikhail Galperin,jazz,musical
{} has a citizenship from,Leonardo Silva,Paul Bocuse,Brazil,France
"In {}, they understand",Imatra,European Union,Finnish,Dutch
The genre played by {} is,Loris Tjeknavorian,Richard Wright,opera,jazz
{} originated from,Franciszek Smuglewicz,Paul Kretschmer,Warsaw,Berlin
{} lost their life at,Johann Heinrich Blasius,Alphonse Lami,Brunswick,Alexandria
"{}, who has a citizenship from",F. S. Platou,Henry Dunant,Norway,France
{} writes in,Roberto Gerhard,Michel Platini,Catalan,French
{} speaks,Alex Levac,Sigismund I the Old,Hebrew,Polish
The official religion of {} is,Urwah ibn Mas'ud,Ang Duong,Islam,Buddhism
"{}, a native",Goncourt brothers,Albert Verwey,French,Dutch
The headquarters of {} is in,Caudill Rowlett Scott,Kaspersky,Houston,Moscow
"{}, the",Walter Payton,Jim Bunning,football,baseball
{} works in the area of,Irving Langmuir Award,Joseph Campbell,physics,mythology
"{}, that was formed in",The Poodles,Jun Sky Walkers,Sweden,Tokyo
{} plays,Rosey Grier,Yogi Berra,football,baseball
"{}, who is employed by",Robert Dougall,Darcy Burner,BBC,Microsoft
{} was written in,Die Zeit,Warface,German,Russian
{} speaks the language,Russian Red,Víctor Claver,Spanish,Catalan
{} professionally plays the sport,Raimo Helminen,Woody Strode,hockey,football
{} is located in,Palupera Rural Municipality,"Randers, which",Estonia,Denmark
"{}, who has the position of",Antipope Laurentius,Hyacinthe Sigismond Gerdil,bishop,cardinal
{} is located in,Shikellamy High School,Par River,Pennsylvania,Gujarat
"{}, a native",Dmitry Muratov,Frédéric Bastiat,Russian,French
{} plays in the position of,Tarek Yehia,Tom Flores,midfielder,quarterback
{} was named for,Cleveland Hopkins International Airport,Saint-André church in Saint-André,Cleveland,Andrew
{} is native to,Michael Ballhaus,Alexander von Zemlinsky,Berlin,Vienna
{} is developed by,Asteroids Deluxe,Calendar and Contacts Server,Atari,Apple
"{}, located in",Bamyan,IPHAN ID,Afghanistan,Brazil
The official religion of {} is,Ahmed I,Lady Gaga,Islam,Christianity
{} is in,Winterval,State Historical Museum,Birmingham,Moscow
{} plays the instrument,Tim Gaines,Robert Radecke,guitar,piano
{} succumbed at,Anatole de Monzie,Élie Ducommun,Paris,Bern
{}'s position is,Urban VI,Bartolomeo di Breganze,pope,bishop
{} was originally from,Ignacio Carrera Pinto,Marcus Dupree,Santiago,Philadelphia
{} worked in,Johan Christian Dahl,Franz Stuck,Dresden,Munich
"{}, in",Gaiola,Mount Olympus,Italy,Greece
{} is produced by,Ferrari 348,Scion xA,Ferrari,Toyota
The headquarter of {} is in,Institution of Structural Engineers,Canada Life,London,Winnipeg
The official religion of {} is,Daniel Patrick Boyd,Michel Friedman,Islam,Judaism
{} holds the position of,Patrick Francis Moran,"Urban V, who",bishop,pope
{} plays,Carmelo Anthony,Pat Tillman,basketball,football
{} died at,Ambrose,Liberius,London,Rome
{} is follower of,Ibn Arabi,Chögyam Trungpa,Islam,Buddhism
{} premiered on,Shear Genius,The Little Mermaid,Bravo,CBS
{} follows the religion of,Muhammad Ahmad ibn ʿAbdallah,Ilse Bing,Islam,Judaism
{} speaks the language,Anatoly Sagalevich,L. L. Zamenhof,Russian,Hebrew
"{}, from",Google Groups,Boeing Phantom Works,Google,Boeing
The expertise of {} is,anatomical location,Adolphe Quetelet,anatomy,mathematics
{} was originally from,Meredith Willson,Macklemore,Iowa,Seattle
{} is created by,Toyota Soarer,Sileighty,Toyota,Nissan
{} holds the position of,Adrian V,Johan Ernst Gunnerus,pope,bishop
{} is known for performing,Jean Racine,Quincy Jones,tragedy,jazz
The original language of {} is,Komban,The Wild Child,Tamil,French
"{}, developed by",Fortran,Windows NT,IBM,Microsoft
{} premiered on,Major Dad,The New Normal,CBS,NBC
{} is a native speaker of,Dominique Pinon,Göran Schildt,French,Swedish
{}'s capital is,Kingdom of Wessex,Holy Roman Empire,Winchester,Prague
{} worked in,Tony Wilson,Graham Brady,Manchester,London
{} speaks the language,Jean Cassou,Winston Churchill,French,English
"{}, the",Cat Power,Serge Gainsbourg,piano,guitar
What is the twin city of {}? It is,Toronto,Budapest?,Kiev,Beijing
{} works for,Delia Derbyshire,"James Thomas Aubrey, Jr.",BBC,CBS
{} writes in,Jacques Nicolas Augustin Thierry,Franklin Delano Roosevelt,French,English
{} plays as,Makoto Hasebe,Dimitri Pätzold,midfielder,goaltender
The headquarter of {} is in,Tata Teleservices,Marks & Spencer,Mumbai,London
{} passed away at,Gilbert Stuart,Innocent XI,Boston,Rome
The original language of {} is,District 13,Water,French,Hindi
{} is created by,Adobe PageMaker,Windows 3.1,Adobe,Microsoft
"{}, speaker of",Korney Chukovsky,Ferdinand de Saussure,Russian,French
{} speaks,George Bentham,Marco Bellocchio,English,Italian
{} works in the field of,Karl Wilhelm von Kupffer,Robert Gordon Latham,anatomy,physician
{} is owned by,Stadio San Paolo,BBC Radio 6 Music,Naples,BBC
{} is owned by,Oak Street Beach,eero,Chicago,Amazon
{} is originally from,Henry Edward Armstrong,Takis Fyssas,London,Athens
{} is affiliated with the religion,Mohammed Iqbal Khan,Quentin Tarantino,Islam,Christianity
{} is located in,Elgar Uplands,Dents du Midi,Antarctica,Europe
"{}, developed in",Philippine Lotto Draw,Two Women,Philippines,Italy
The original language of {} is,Dhool,The Sisterhood of the Traveling Pants,Tamil,English
{} works as,Sadhu Kokila,"Hermann Schwarz, who",actor,mathematician
The language of {} was,Ungli,The Sisterhood of the Traveling Pants,Hindi,English
"{}, that was formed in",Deutsche Bahn,The Frames,Berlin,Dublin
{} is located in,ice cream cone,Where is Salina? It,Austria,Sicily
{} is located in,"West Royalty, Prince Edward Island",Anantapuram district,Canada,India
"{}, that was created in",Dansbandskampen,Earth of the Blind,Sweden,Lithuania
{} is a part of the continent of,Largo Island,India,Antarctica,Asia
"{}, by",Cinema Center Films,Nintendo Entertainment Analysis & Development,CBS,Nintendo
{} is to debut on,Wichita Town,Real World,NBC,MTV
"{}, the",Quinn Gray,Radosław Kałużny,quarterback,midfielder
{} is located in,Northern Territory,"Federal Heritage Buildings ID (Canada), which",Australia,Canada
{} succumbed at,Mike Zwerin,Edgar Wind,Paris,London
{}'s owner,BBC News,Google Vault,BBC,Google
"In {}, they understand",Jakobstad,Kerch,Finnish,Ukrainian
{} is named after,Birmingham City F.C.,Shipka Memorial Church,Birmingham,Christmas
{} is located in,Monarcas Morelia,"Uden, which",Mexico,Netherlands
What is the twin city of {}? It is,Nairobi,Warsaw?,Denver,Istanbul
{} is headquartered in,Electrolux,People's Mujahedin of Iran,Stockholm,Paris
{} is in,"Minchau, Edmonton",Brick End,Edmonton,England
"{}, that was created in",Oerlikon 20 mm cannon,Frauds,Switzerland,Australia
{} speaks,Claude Closky,Karel van Mander the Elder,French,Dutch
{} is within,Millwood Lake,Bechtelsville,Arkansas,Pennsylvania
{} premieres on,I'm Telling!,"Dink, the Little Dinosaur",NBC,CBS
{} is a twin city of,Busan,Vienna,Bangkok,Warsaw
{} was released on,Making the Video,"Scooby-Doo, Where Are You!",MTV,CBS
"{}, that was created in",Echo & the Bunnymen,The Long Winters,Liverpool,Seattle
{} writes in,Nitzan Horowitz,Ettore Scola,Hebrew,Italian
The language of {} is,Uutisvuoto,71 Fragments of a Chronology of Chance,Finnish,German
The law in {} declares the language,Spiez,Laitila,German,Finnish
"{}, produced by",Chevrolet Lumina APV,Toyota Camry XV30,Chevrolet,Toyota
"{}, a product manufactured by",IBM ViaVoice,Macintosh File System,IBM,Apple
The headquarter of {} is in,United States Soccer Federation,Godrej Group,Chicago,Mumbai
{} is known for performing,Lou Marini,Dietrich Fischer-Dieskau,jazz,opera
What is the twin city of {}? It is,Rio de Janeiro,Portsmouth?,Adelaide,Sydney
{} is created by,Chevrolet Uplander,Ferrari F2002,Chevrolet,Ferrari
{} plays,Pee Wee Hunt,"Leo Slezak, who",jazz,opera
"{}, playing the",Ryszard Bakst,Paul Simon,piano,guitar
"{}, which is located in",Leiria,Castellammare di Stabia,Portugal,Italy
"In {}, they understand",Vantaa,Utyagulovo,Finnish,Russian
{} is native to,Ali Campbell,John Henry Whitley,Birmingham,Halifax
{} belongs to the organization of,Football Association of Wales,Belgium,FIFA,UNESCO
The language used by {} is,Pierre de Marca,Martin Luther King Jr.,French,English
"{}, founded in",LZ7,General Logistics Systems,Manchester,Amsterdam
{} worked in,Carl Lindhagen,Paul Friedrich Meyerheim,Stockholm,Amsterdam
{} is produced by,Suzuki Swift,Fiat 500 Moretti Coupé,Suzuki,Fiat
{} speaks the language,Antonio Margheriti,Elsa Triolet,Italian,French
The language of {} was,The Elusive Avengers,Bambi,Russian,English
{} is a twin city of,Tel Aviv,Mexico City,Oslo,Jakarta
{} plays in the position of,Mule Haas,Idrissa Gueye,outfielder,midfielder
{} was from,Jagwar Ma,Encyclopédie,Australia,France
The headquarter of {} is located in,Smith & Wesson,Gameloft,Springfield,Paris
{} is a professional,Bill Goldberg,Tim Cahill,football,soccer
{} can be found in,Rotunde (Vienna),Shire of Mansfield,Vienna,Victoria
"{}, which is located in",Taunsa Barrage,Someren,Pakistan,Netherlands
{} works as,Ann Bell,Plato,actor,poet
{} is a native speaker of,Michel Sardou,Antón García Abril,French,Spanish
{} is known for performing,Steps Ahead,"The Professor, the Banker, and the Suicide King",jazz,poker
"{}, which is represented by",It Doesn't Matter Anymore,Harry James,Coral,Brunswick
The twin city of {} is,Saint Petersburg,Minsk,Mumbai,Nottingham
The genre played by {} is,Thomas Linley the elder,Al Sears,opera,jazz
"{}, which is located in",Pully,Bærum,Switzerland,Norway
"{}, by",Fraport Arena,DRS Technologies,Frankfurt,Leonardo
